,Choroid Plexus,Neural Stem,Neuroblast,Ependymal
spot338,0.002921221312135458,0.9477204084396362,0.04849394038319588,0.0008643550681881607
spot343,0.0007695413078181446,0.29164037108421326,0.6998128294944763,0.0077772899530828
spot354,0.0016201676335185766,0.5265784859657288,0.46702179312705994,0.004779581446200609
spot355,0.002191354986280203,0.2041875123977661,0.7935755252838135,4.56519665021915e-05
spot356,5.826565029565245e-05,0.9131600260734558,0.08671043068170547,7.118155917851254e-05
spot357,0.0015360875986516476,0.31939470767974854,0.6777887344360352,0.0012804516591131687
spot367,0.0013861238257959485,0.0004943732055835426,0.9978802800178528,0.00023934157798066735
spot368,0.001003507524728775,0.009739072062075138,0.9847780466079712,0.004479453898966312
spot369,0.0009187456453219056,0.4093444347381592,0.5864274501800537,0.003309424500912428
spot370,0.0023919567465782166,0.05708781257271767,0.936367392539978,0.004152728244662285
spot371,0.0005305436789058149,0.49206218123435974,0.4969628155231476,0.010444465093314648
spot372,0.0006327807786874473,0.16693568229675293,0.8310741186141968,0.0013573894975706935
spot373,0.00040798887494020164,0.5599470734596252,0.4391137659549713,0.0005312126595526934
spot374,0.00024668697733432055,0.0031948054675012827,0.9962756037712097,0.00028294461662881076
spot381,0.981122612953186,0.0019309476483613253,0.016442162916064262,0.000504254421684891
spot382,0.31687822937965393,0.3760482370853424,0.2886066138744354,0.018466897308826447
spot383,0.002314443700015545,0.32708802819252014,0.3034745752811432,0.36712291836738586
spot384,0.0009658706840127707,0.0023635653778910637,0.6748231649398804,0.32184725999832153
spot385,0.0005437973304651678,0.42021411657333374,0.32154572010040283,0.2576964199542999
spot386,0.001089683035388589,0.005039025563746691,0.987280011177063,0.006591222248971462
spot387,0.0010355153353884816,0.021313728764653206,0.974233865737915,0.0034168518614023924
spot388,0.0008039114763960242,0.10714884847402573,0.8912760615348816,0.0007711116340942681
spot389,0.00040913550765253603,0.04049661010503769,0.9584587812423706,0.0006353531498461962
spot391,0.990425705909729,0.0025971264112740755,0.006070459261536598,0.0009066726197488606
spot392,0.9974838495254517,0.0008691447437740862,0.0015172226121649146,0.00012978668382856995
spot397,0.9841417074203491,0.003311449894681573,0.004427593667060137,0.00811915285885334
spot399,0.00028071110136806965,0.003296121722087264,0.11072519421577454,0.8856980204582214
spot400,0.0011570343049243093,0.014439176768064499,0.8747796416282654,0.10962425172328949
spot401,0.0015791618498042226,0.009768126532435417,0.984869122505188,0.003783625550568104
spot402,0.0012562429765239358,0.0037273040506988764,0.9931238293647766,0.0018926473567262292
spot403,0.004442350473254919,0.05636638030409813,0.8765548467636108,0.06263645738363266
spot406,0.9909349083900452,0.0024086555931717157,0.004446260631084442,0.002210186328738928
spot407,0.9958774447441101,0.0014154354576021433,0.0011989743215963244,0.001508170273154974
spot408,0.9962194561958313,0.003021983662620187,0.0004370541137177497,0.0003215920296497643
spot411,0.9815762042999268,0.0029823563527315855,0.010869674384593964,0.004571793135255575
spot412,0.9905156493186951,0.005154762417078018,0.0015457748668268323,0.0027838144451379776
spot414,0.0011691958643496037,0.34885087609291077,0.32163524627685547,0.3283446431159973
spot415,0.0018550094682723284,0.12267425656318665,0.6851297616958618,0.19034096598625183
spot420,0.9928635358810425,0.002111310139298439,0.003701422130689025,0.0013236397644504905
spot421,0.9956950545310974,0.0008813701570034027,0.002735249465331435,0.0006882238085381687
spot424,0.9942124485969543,0.0021425969898700714,0.002708267653360963,0.0009366915910504758
spot425,0.9930571913719177,0.002768066944554448,0.002071702154353261,0.0021031550131738186
spot428,0.005857944488525391,0.529604434967041,0.27554211020469666,0.18899548053741455
spot429,0.0011605015024542809,0.5475401878356934,0.4480876922607422,0.003211571369320154
spot430,0.0007670867489650846,0.06286446750164032,0.9353562593460083,0.0010121297091245651
spot437,0.9921784400939941,0.0064615607261657715,0.0011987301986664534,0.00016117992345243692
spot438,0.992646336555481,0.002456924645230174,0.0028293284121900797,0.002067440887913108
spot439,0.9966676235198975,0.0007598371594212949,0.0021399003453552723,0.000432510714745149
spot442,0.9554487466812134,0.0076875099912285805,0.03238680213689804,0.004476981237530708
spot443,0.3067382574081421,0.03268982842564583,0.5466361045837402,0.11393585801124573
spot452,0.9973974823951721,0.00030166583019308746,0.0015193372964859009,0.0007814917480573058
spot454,0.9909889698028564,0.0027058201376348734,0.0019157837377861142,0.004389471374452114
spot455,0.9818322658538818,0.006077152211219072,0.008032240904867649,0.0040583182126283646
spot456,0.9890519976615906,0.00334182963706553,0.004886110778898001,0.002720088930800557
spot457,0.9605728983879089,0.00245005008764565,0.03482169657945633,0.002155393362045288
spot465,0.9662836194038391,0.0016450812108814716,0.02735447883605957,0.004716892726719379
spot466,0.9898232817649841,0.0039284504018723965,0.005159893073141575,0.0010884449584409595
spot467,0.9793697595596313,0.007289026398211718,0.011047529987990856,0.002293565310537815
spot468,0.9893692135810852,0.0025593149475753307,0.004177596420049667,0.0038938699290156364
